,AWK
2022-01-28,149.57421875
2022-01-31,152.37924194335938
2022-02-01,150.398681640625
2022-02-02,152.39820861816406
2022-02-03,149.2615203857422
2022-02-04,147.35679626464844
2022-02-07,147.8543243408203
2022-02-08,148.08265686035156
2022-02-09,148.1492156982422
2022-02-10,143.08824157714844
2022-02-11,142.18446350097656
2022-02-14,140.8240509033203
2022-02-15,139.62539672851562
2022-02-16,139.1687774658203
2022-02-17,140.8525848388672
2022-02-18,141.04287719726562
2022-02-22,140.63380432128906
2022-02-23,139.5873565673828
2022-02-24,141.3663330078125
2022-02-25,145.25723266601562
2022-02-28,143.735107421875
2022-03-01,143.66854858398438
2022-03-02,144.69593811035156
2022-03-03,147.39768981933594
2022-03-04,153.20074462890625
2022-03-07,151.46937561035156
2022-03-08,146.74127197265625
2022-03-09,146.3036651611328
2022-03-10,145.67581176757812
2022-03-11,144.6769256591797
2022-03-14,145.1906280517578
2022-03-15,148.3585205078125
2022-03-16,148.5487823486328
2022-03-17,149.76649475097656
2022-03-18,150.9936981201172
2022-03-21,149.36692810058594
2022-03-22,148.95787048339844
2022-03-23,148.02557373046875
2022-03-24,150.45143127441406
2022-03-25,151.78330993652344
2022-03-28,153.56227111816406
2022-03-29,156.43524169921875
2022-03-30,157.776611328125
2022-03-31,157.47219848632812
2022-04-01,160.62106323242188
2022-04-04,158.15713500976562
2022-04-05,159.47947692871094
2022-04-06,160.7637481689453
2022-04-07,162.80909729003906
2022-04-08,161.6009063720703
2022-04-11,160.98257446289062
2022-04-12,160.34518432617188
2022-04-13,159.01332092285156
2022-04-14,158.07151794433594
2022-04-18,154.53260803222656
2022-04-19,156.37815856933594
2022-04-20,159.40335083007812
2022-04-21,157.26290893554688
2022-04-22,156.20692443847656
2022-04-25,152.98196411132812
2022-04-26,150.5561065673828
2022-04-27,148.6343994140625
2022-04-28,152.8582763671875
2022-04-29,146.5795440673828
2022-05-02,141.5851287841797
2022-05-03,142.336669921875
2022-05-04,145.07647705078125
2022-05-05,141.1379852294922
2022-05-06,141.75634765625
2022-05-09,139.30543518066406
2022-05-10,137.16510009765625
2022-05-11,137.63328552246094
2022-05-12,139.33412170410156
2022-05-13,139.96475219726562
2022-05-16,139.4774627685547
2022-05-17,139.89785766601562
2022-05-18,137.86260986328125
2022-05-19,138.59835815429688
2022-05-20,139.09524536132812
2022-05-23,141.76113891601562
2022-05-24,141.86622619628906
2022-05-25,140.3565216064453
2022-05-26,142.20071411132812
2022-05-27,145.0098876953125
2022-05-31,144.52259826660156
2022-06-01,145.1627960205078
2022-06-02,148.16314697265625
2022-06-03,148.24911499023438
2022-06-06,148.20135498046875
2022-06-07,149.87351989746094
2022-06-08,146.76808166503906
2022-06-09,143.86329650878906
2022-06-10,141.67514038085938
2022-06-13,134.4036102294922
2022-06-14,127.53343963623047
2022-06-15,129.01449584960938
2022-06-16,125.05863189697266
2022-06-17,125.9759292602539
2022-06-21,128.46029663085938
2022-06-22,130.91595458984375
2022-06-23,138.14927673339844
2022-06-24,141.74203491210938
2022-06-27,142.32489013671875
2022-06-28,138.6461639404297
2022-06-29,139.33412170410156
2022-06-30,142.15289306640625
2022-07-01,146.60562133789062
2022-07-05,142.99374389648438
2022-07-06,145.46856689453125
2022-07-07,146.41452026367188
2022-07-08,144.14993286132812
2022-07-11,143.4906463623047
2022-07-12,141.44583129882812
2022-07-13,141.43626403808594
2022-07-14,140.02207946777344
2022-07-15,141.9617919921875
2022-07-18,138.61749267578125
2022-07-19,140.24185180664062
2022-07-20,138.27346801757812
2022-07-21,139.4583282470703
2022-07-22,141.6273651123047
2022-07-25,143.165771484375
2022-07-26,143.86329650878906
2022-07-27,144.54171752929688
2022-07-28,148.59310913085938
2022-07-29,148.52621459960938
2022-08-01,149.66326904296875
2022-08-02,148.56446838378906
2022-08-03,150.63792419433594
2022-08-04,151.58389282226562
2022-08-05,148.71734619140625
2022-08-08,148.8756561279297
2022-08-09,149.0867462158203
2022-08-10,150.43014526367188
2022-08-11,148.9236602783203
2022-08-12,151.9270782470703
2022-08-15,152.80027770996094
2022-08-16,153.04974365234375
2022-08-17,152.51239013671875
2022-08-18,152.33009338378906
2022-08-19,151.42808532714844
2022-08-22,148.90443420410156
2022-08-23,146.62069702148438
2022-08-24,148.28074645996094
2022-08-25,149.03880310058594
2022-08-26,144.9798583984375
2022-08-29,145.50759887695312
2022-08-30,144.4041290283203
2022-08-31,142.44664001464844
2022-09-01,145.35406494140625
2022-09-02,142.1299591064453
2022-09-06,142.4178466796875
2022-09-07,147.1388702392578
2022-09-08,148.27113342285156
2022-09-09,148.63575744628906
2022-09-12,150.52609252929688
2022-09-13,145.98739624023438
2022-09-14,147.27320861816406
2022-09-15,141.88047790527344
2022-09-16,142.39865112304688
2022-09-19,142.54258728027344
2022-09-20,139.558349609375
2022-09-21,138.48362731933594
2022-09-22,137.01551818847656
2022-09-23,135.2115478515625
2022-09-26,131.77630615234375
2022-09-27,129.2622833251953
2022-09-28,131.8626708984375
2022-09-29,127.81330108642578
2022-09-30,124.89627075195312
2022-10-03,128.9168243408203
2022-10-04,130.9990692138672
2022-10-05,128.0052490234375
2022-10-06,125.93260955810547
2022-10-07,122.29586791992188
2022-10-10,122.28626251220703
2022-10-11,122.55494689941406
2022-10-12,120.91410064697266
2022-10-13,123.76399993896484
2022-10-14,123.24584197998047
2022-10-17,126.10530090332031
2022-10-18,129.31985473632812
2022-10-19,128.5809783935547
2022-10-20,124.67557525634766
2022-10-21,127.39111328125
2022-10-24,130.4617156982422
2022-10-25,133.90652465820312
2022-10-26,133.5898895263672
2022-10-27,136.2766571044922
2022-10-28,140.03814697265625
2022-10-31,139.46240234375
2022-11-01,136.1039276123047
2022-11-02,132.57276916503906
2022-11-03,132.26568603515625
2022-11-04,133.4171600341797
2022-11-07,133.0845489501953
2022-11-08,134.77171325683594
2022-11-09,134.45358276367188
2022-11-10,142.21456909179688
2022-11-11,140.7009735107422
2022-11-14,139.55368041992188
2022-11-15,140.77809143066406
2022-11-16,141.77110290527344
2022-11-17,137.72186279296875
2022-11-18,141.4433135986328
2022-11-21,142.4170379638672
2022-11-22,142.89910888671875
2022-11-23,145.82994079589844
2022-11-25,147.41107177734375
2022-11-28,144.37417602539062
2022-11-29,141.8578643798828
2022-11-30,146.31201171875
2022-12-01,148.48123168945312
2022-12-02,148.22093200683594
2022-12-05,147.68104553222656
2022-12-06,149.12716674804688
2022-12-07,148.2691192626953
2022-12-08,149.83099365234375
2022-12-09,150.53475952148438
2022-12-12,151.35426330566406
2022-12-13,153.47528076171875
2022-12-14,152.6654510498047
2022-12-15,150.8047332763672
2022-12-16,146.92904663085938
2022-12-19,146.0420379638672
2022-12-20,144.86582946777344
2022-12-21,147.05438232421875
2022-12-22,146.4759063720703
2022-12-23,147.5267791748047
2022-12-27,148.74154663085938
2022-12-28,147.62318420410156
2022-12-29,149.22361755371094
2022-12-30,146.94830322265625
2023-01-03,148.56802368164062
2023-01-04,151.52780151367188
2023-01-05,149.11753845214844
2023-01-06,152.57867431640625
2023-01-09,152.75221252441406
2023-01-10,154.99856567382812
2023-01-11,155.62522888183594
2023-01-12,153.697021484375
2023-01-13,153.16676330566406
2023-01-17,151.5952911376953
2023-01-18,147.20863342285156
2023-01-19,144.79835510253906
2023-01-20,146.0998992919922
2023-01-23,145.5503692626953
2023-01-24,148.99221801757812
2023-01-25,149.92739868164062
2023-01-26,150.59262084960938
2023-01-27,151.3831787109375
2023-01-30,149.4357147216797
2023-01-31,150.87222290039062
2023-02-01,152.92575073242188
2023-02-02,154.8346710205078
2023-02-03,150.9879150390625
2023-02-06,151.42840576171875
2023-02-07,150.5183563232422
2023-02-08,145.8905792236328
2023-02-09,144.31251525878906
