,PSX
2021-03-15,75.81678771972656
2021-03-16,73.30509948730469
2021-03-17,73.7625503540039
2021-03-18,70.23236846923828
2021-03-19,71.00054931640625
2021-03-22,69.55050659179688
2021-03-23,68.16950225830078
2021-03-24,70.80203247070312
2021-03-25,71.15592193603516
2021-03-26,72.76995086669922
2021-03-29,71.23359680175781
2021-03-30,71.0437240600586
2021-03-31,70.37911224365234
2021-04-01,71.7773666381836
2021-04-05,70.82794189453125
2021-04-06,69.78355407714844
2021-04-07,69.04989624023438
2021-04-08,67.68616485595703
2021-04-09,68.21267700195312
2021-04-12,66.99565887451172
2021-04-13,66.99565887451172
2021-04-14,68.52338409423828
2021-04-15,68.20403289794922
2021-04-16,67.91919708251953
2021-04-19,67.27185821533203
2021-04-20,65.09677124023438
2021-04-21,66.47779846191406
2021-04-22,64.69111633300781
2021-04-23,66.02033233642578
2021-04-26,66.02896881103516
2021-04-27,67.40996551513672
2021-04-28,69.13619995117188
2021-04-29,70.01660919189453
2021-04-30,69.83534240722656
2021-05-03,72.45060729980469
2021-05-04,71.6651611328125
2021-05-05,73.35688018798828
2021-05-06,73.89202880859375
2021-05-07,74.2631607055664
2021-05-10,73.87476348876953
2021-05-11,72.18303680419922
