,MSI
2022-10-12,217.6015167236328
2022-10-13,219.5891876220703
2022-10-14,207.80929565429688
2022-10-17,215.07798767089844
2022-10-18,219.52098083496094
2022-10-19,218.10818481445312
2022-10-20,215.49693298339844
2022-10-21,220.57330322265625
2022-10-24,229.02090454101562
2022-10-25,233.5321502685547
2022-10-26,234.13624572753906
2022-10-27,235.96798706054688
2022-10-28,243.70433044433594
2022-10-31,243.3048553466797
2022-11-01,236.65977478027344
2022-11-02,233.7464599609375
2022-11-03,232.07057189941406
2022-11-04,248.33250427246094
2022-11-07,248.97555541992188
2022-11-08,250.21299743652344
2022-11-09,247.1145477294922
2022-11-10,252.95089721679688
2022-11-11,243.12948608398438
2022-11-14,244.51304626464844
2022-11-15,243.98690795898438
2022-11-16,249.19967651367188
2022-11-17,248.95606994628906
2022-11-18,256.195556640625
2022-11-21,255.64990234375
2022-11-22,258.2611389160156
2022-11-23,259.1770324707031
2022-11-25,261.5447082519531
2022-11-28,259.1575622558594
2022-11-29,257.6765441894531
2022-11-30,265.2179870605469
2022-12-01,264.80877685546875
2022-12-02,265.7052001953125
2022-12-05,261.349853515625
2022-12-06,259.3426513671875
2022-12-07,259.94677734375
2022-12-08,262.8697814941406
2022-12-09,258.7580871582031
2022-12-12,263.8928527832031
2022-12-13,260.2974853515625
2022-12-14,259.8674011230469
2022-12-15,251.37232971191406
2022-12-16,246.77774047851562
2022-12-19,248.87950134277344
2022-12-20,250.08193969726562
2022-12-21,251.72422790527344
2022-12-22,249.69091796875
2022-12-23,250.87374877929688
2022-12-27,250.87374877929688
2022-12-28,248.10720825195312
2022-12-29,253.0048828125
2022-12-30,251.92953491210938
2023-01-03,251.62646484375
2023-01-04,252.23255920410156
2023-01-05,249.39761352539062
2023-01-06,257.9219665527344
2023-01-09,254.76446533203125
2023-01-10,256.4654541015625
2023-01-11,258.41082763671875
2023-01-12,258.7724914550781
2023-01-13,260.04339599609375
2023-01-17,257.38433837890625
2023-01-18,251.0985870361328
2023-01-19,246.86572265625
2023-01-20,249.58334350585938
2023-01-23,251.05950927734375
2023-01-24,250.4827117919922
2023-01-25,252.77023315429688
2023-01-26,251.47982788085938
2023-01-27,248.6937713623047
2023-01-30,246.5822296142578
2023-01-31,251.24520874023438
2023-02-01,253.9433135986328
2023-02-02,250.1796875
2023-02-03,250.6880340576172
2023-02-06,252.4476318359375
2023-02-07,252.01748657226562
