,FANG
2018-12-04,84.23700714111328
2018-12-06,81.62362670898438
2018-12-07,82.32907104492188
2018-12-10,80.66966247558594
2018-12-11,80.19671630859375
2018-12-12,78.95416259765625
2018-12-13,77.21456909179688
2018-12-14,74.32064819335938
2018-12-17,70.9777603149414
2018-12-18,70.48876953125
2018-12-19,72.62916564941406
2018-12-20,71.37059020996094
2018-12-21,71.16216278076172
2018-12-24,68.67704010009766
2018-12-26,73.74345397949219
2018-12-27,74.4569320678711
2018-12-28,73.66329193115234
2018-12-31,74.3126220703125
2019-01-02,76.33277893066406
2019-01-03,77.08631896972656
2019-01-04,80.10852813720703
2019-01-07,82.27295684814453
2019-01-08,84.13277435302734
2019-01-09,85.60781860351562
2019-01-10,85.07872009277344
2019-01-11,83.45140838623047
2019-01-14,83.78007507324219
2019-01-15,84.18089294433594
2019-01-16,84.6859359741211
2019-01-17,84.6939468383789
2019-01-18,85.68798828125
2019-01-22,81.33505249023438
2019-01-23,81.23085021972656
2019-01-24,81.41520690917969
2019-01-25,81.93629455566406
2019-01-28,80.40514373779297
2019-01-29,80.29290008544922
2019-01-30,81.97635650634766
2019-01-31,82.66578674316406
2019-02-01,82.48139953613281
2019-02-04,83.81212615966797
2019-02-05,81.67172241210938
2019-02-06,81.48734283447266
2019-02-07,78.52928161621094
2019-02-08,77.43905639648438
2019-02-11,78.4491195678711
2019-02-12,79.10646057128906
2019-02-13,80.98231506347656
2019-02-14,83.23494720458984
2019-02-15,84.57371520996094
2019-02-19,84.01253509521484
2019-02-20,85.4371566772461
2019-02-21,81.97793579101562
2019-02-22,83.49486541748047
2019-02-25,84.50614166259766
2019-02-26,84.68270874023438
2019-02-27,84.66666412353516
2019-02-28,82.61199188232422
2019-03-01,84.10484313964844
2019-03-04,84.0085220336914
2019-03-05,82.36321258544922
2019-03-06,80.30050659179688
