,LVS
2018-01-19,64.72080993652344
2018-01-22,66.97053527832031
2018-01-23,67.45696258544922
2018-01-24,67.265869140625
2018-01-25,65.45914459228516
2018-01-26,65.58074188232422
2018-01-29,68.64696502685547
2018-01-30,68.08236694335938
2018-01-31,67.33535766601562
2018-02-01,67.93470764160156
2018-02-02,65.30278015136719
2018-02-05,62.87065887451172
2018-02-06,64.37335968017578
2018-02-07,63.782691955566406
2018-02-08,61.66326904296875
2018-02-09,61.67195510864258
2018-02-12,62.14101791381836
2018-02-13,63.53949737548828
2018-02-14,64.66868591308594
2018-02-15,65.0074462890625
2018-02-16,65.16381072998047
2018-02-20,65.1811752319336
2018-02-21,65.19855499267578
2018-02-22,63.365760803222656
2018-02-23,64.56446075439453
2018-02-26,64.234375
2018-02-27,63.443931579589844
2018-02-28,63.2441520690918
2018-03-01,61.541656494140625
2018-03-02,62.11495590209961
2018-03-05,62.16705322265625
2018-03-06,63.09649658203125
2018-03-07,63.443931579589844
2018-03-08,66.55359649658203
2018-03-09,66.42329406738281
2018-03-12,65.69366455078125
2018-03-13,64.15620422363281
2018-03-14,64.19095611572266
2018-03-15,64.9466552734375
2018-03-16,65.18985748291016
2018-03-19,65.18985748291016
2018-03-20,65.2767333984375
2018-03-21,64.32917022705078
2018-03-22,62.59195327758789
2018-03-23,60.81965637207031
2018-03-26,61.81108856201172
2018-03-27,62.87273025512695
2018-03-28,62.10063171386719
2018-03-29,63.083290100097656
2018-04-02,61.92515182495117
2018-04-03,62.24978256225586
2018-04-04,61.45136260986328
2018-04-05,62.39017105102539
2018-04-06,60.73191833496094
2018-04-09,61.31098175048828
2018-04-10,62.65337371826172
2018-04-11,62.162044525146484
2018-04-12,63.49564743041992
2018-04-13,63.01310348510742
2018-04-16,64.0045394897461
2018-04-17,64.4870834350586
2018-04-18,65.29428100585938
2018-04-19,64.78540802001953
2018-04-20,64.82926177978516
2018-04-23,65.31182098388672
2018-04-24,64.74153900146484
2018-04-25,63.46935272216797
2018-04-26,64.14491271972656
2018-04-27,63.460567474365234
2018-04-30,64.33793640136719
2018-05-01,65.6803207397461
2018-05-02,66.02249145507812
2018-05-03,66.11901092529297
2018-05-04,67.01392364501953
2018-05-07,67.45262145996094
2018-05-08,67.2420425415039
2018-05-09,68.3387680053711
2018-05-10,69.31266784667969
2018-05-11,68.5581283569336
2018-05-14,67.98782348632812
2018-05-15,68.33001708984375
2018-05-16,68.75112915039062
2018-05-17,68.48793029785156
2018-05-18,68.35631561279297
2018-05-21,69.540771484375
2018-05-22,69.31266784667969
2018-05-23,69.57586669921875
2018-05-24,69.58463287353516
2018-05-25,69.6197280883789
2018-05-29,69.821533203125
2018-05-30,70.41814422607422
2018-05-31,70.7252197265625
2018-06-01,70.60238647460938
2018-06-04,70.03211212158203
2018-06-05,69.0494384765625
2018-06-06,69.22492980957031
2018-06-07,68.15451049804688
2018-06-08,68.43526458740234
2018-06-11,69.42671966552734
2018-06-12,70.44447326660156
2018-06-13,70.47077941894531
2018-06-14,70.71643829345703
2018-06-15,70.51465606689453
2018-06-18,71.3042984008789
2018-06-19,70.25934600830078
2018-06-20,70.86151123046875
2018-06-21,70.31246185302734
2018-06-22,70.66670227050781
2018-06-25,67.17765045166016
2018-06-26,68.3908462524414
2018-06-27,67.2396240234375
2018-06-28,66.96511840820312
2018-06-29,67.62042999267578
2018-07-02,63.11298370361328
2018-07-03,62.82960510253906
2018-07-05,63.954246520996094
2018-07-06,64.08707427978516
2018-07-09,64.92835998535156
2018-07-10,65.20286560058594
2018-07-11,64.02510070800781
2018-07-12,64.80438232421875
2018-07-13,65.29143524169922
2018-07-16,65.60137939453125
2018-07-17,65.96443939208984
2018-07-18,66.12384033203125
2018-07-19,65.5748062133789
2018-07-20,65.3976821899414
2018-07-23,65.40654754638672
2018-07-24,65.97330474853516
2018-07-25,66.5223388671875
2018-07-26,63.139549255371094
2018-07-27,63.34321594238281
2018-07-30,62.21858215332031
2018-07-31,63.670875549316406
2018-08-01,61.11164093017578
2018-08-02,60.60688018798828
2018-08-03,60.79283905029297
2018-08-06,61.27988815307617
2018-08-07,61.12935256958008
2018-08-08,60.80169677734375
2018-08-09,60.6777229309082
2018-08-10,60.08440017700195
2018-08-13,59.41138458251953
2018-08-14,59.083736419677734
2018-08-15,57.08240509033203
2018-08-16,57.65800857543945
2018-08-17,58.322174072265625
2018-08-20,58.11848449707031
2018-08-21,58.67638397216797
2018-08-22,58.12734603881836
2018-08-23,58.0122184753418
2018-08-24,58.038795471191406
2018-08-27,59.083736419677734
2018-08-28,58.623252868652344
2018-08-29,58.640968322753906
2018-08-30,58.1893310546875
2018-08-31,57.932525634765625
2018-09-04,57.117820739746094
2018-09-05,55.88690185546875
2018-09-06,54.0892448425293
2018-09-07,53.6818962097168
2018-09-10,54.19551467895508
2018-09-11,53.57563018798828
2018-09-12,54.23094177246094
2018-09-13,54.23979568481445
2018-09-14,54.38147735595703
2018-09-17,54.222084045410156
2018-09-18,54.15932846069336
2018-09-19,54.64345169067383
2018-09-20,54.66138458251953
2018-09-21,54.64345169067383
2018-09-24,54.204139709472656
2018-09-25,54.38345718383789
2018-09-26,53.63037109375
2018-09-27,53.57657241821289
2018-09-28,53.191070556640625
2018-10-01,53.56761932373047
2018-10-02,53.07452392578125
2018-10-03,54.52690124511719
2018-10-04,53.20899963378906
2018-10-05,52.626258850097656
2018-10-08,52.276611328125
2018-10-09,52.24971008300781
2018-10-10,50.501487731933594
2018-10-11,49.74840545654297
2018-10-12,50.34010314941406
2018-10-15,50.04425048828125
2018-10-16,51.34422302246094
2018-10-17,51.42491149902344
2018-10-18,50.241485595703125
2018-10-19,49.90081024169922
2018-10-22,49.210479736328125
2018-10-23,47.84775161743164
2018-10-24,46.61951446533203
2018-10-25,48.645660400390625
2018-10-26,46.969154357910156
2018-10-29,45.480918884277344
2018-10-30,45.62436294555664
2018-10-31,45.7498779296875
2018-11-01,51.15595245361328
2018-11-02,50.42976379394531
2018-11-05,49.416683197021484
2018-11-06,49.67668533325195
2018-11-07,50.716651916503906
2018-11-08,48.15257263183594
2018-11-09,46.70020294189453
2018-11-12,45.72298049926758
2018-11-13,46.2160758972168
2018-11-14,47.04983901977539
2018-11-15,48.170501708984375
2018-11-16,48.24222946166992
2018-11-19,45.229896545410156
2018-11-20,45.122310638427734
2018-11-21,46.58365249633789
2018-11-23,45.48988723754883
2018-11-26,48.807044982910156
2018-11-27,48.511192321777344
2018-11-28,49.443580627441406
2018-11-29,48.83393859863281
2018-11-30,49.255306243896484
2018-12-03,52.30351257324219
2018-12-04,49.82011795043945
2018-12-06,49.927703857421875
2018-12-07,47.82086944580078
2018-12-10,47.928443908691406
2018-12-11,48.62773895263672
2018-12-12,49.694602966308594
2018-12-13,49.39875030517578
2018-12-14,49.165653228759766
2018-12-17,47.82038879394531
2018-12-18,48.138526916503906
2018-12-19,46.55693817138672
2018-12-20,45.75705337524414
2018-12-21,44.09365463256836
2018-12-24,44.030029296875
2018-12-26,46.7660026550293
2018-12-27,46.484230041503906
2018-12-28,46.24789810180664
2018-12-31,47.311370849609375
2019-01-02,49.229286193847656
2019-01-03,47.46590805053711
2019-01-04,50.1473274230957
2019-01-07,50.42001724243164
2019-01-08,51.42896270751953
2019-01-09,51.738006591796875
2019-01-10,51.565311431884766
2019-01-11,51.77437210083008
2019-01-14,50.72907257080078
2019-01-15,51.4471435546875
2019-01-16,51.61075973510742
2019-01-17,51.856170654296875
2019-01-18,52.446998596191406
2019-01-22,51.856170654296875
2019-01-23,52.0743293762207
2019-01-24,51.23808288574219
2019-01-25,51.765281677246094
2019-01-28,51.138099670410156
2019-01-29,51.147193908691406
2019-01-30,53.63773727416992
2019-01-31,53.04691696166992
2019-02-01,54.437625885009766
2019-02-04,53.719539642333984
2019-02-05,54.219478607177734
2019-02-06,55.319313049316406
2019-02-07,54.037681579589844
2019-02-08,53.63773727416992
2019-02-11,54.17402648925781
2019-02-12,54.6557731628418
2019-02-13,54.873924255371094
2019-02-14,53.964962005615234
2019-02-15,54.81938552856445
2019-02-19,55.58291244506836
2019-02-20,55.76470184326172
2019-02-21,55.9101448059082
2019-02-22,56.00103759765625
2019-02-25,55.510196685791016
2019-02-26,56.15555953979492
2019-02-27,55.83742141723633
2019-02-28,55.83742141723633
2019-03-01,54.90119171142578
2019-03-04,54.22856903076172
2019-03-05,54.1831169128418
2019-03-06,55.13752365112305
2019-03-07,54.52852249145508
2019-03-08,54.755760192871094
2019-03-11,54.6739616394043
2019-03-12,53.774085998535156
2019-03-13,53.93769836425781
2019-03-14,54.010414123535156
2019-03-15,54.319454193115234
2019-03-18,54.61033630371094
2019-03-19,54.60111999511719
2019-03-20,54.453792572021484
2019-03-21,56.35057067871094
2019-03-22,54.849727630615234
2019-03-25,54.582698822021484
2019-03-26,55.33773422241211
2019-03-27,54.352516174316406
2019-03-28,55.54950714111328
2019-03-29,56.129581451416016
2019-04-01,58.330196380615234
2019-04-02,59.711334228515625
2019-04-03,59.08522033691406
2019-04-04,60.41111755371094
2019-04-05,60.696556091308594
2019-04-08,60.807044982910156
2019-04-09,60.33745574951172
2019-04-10,60.63210678100586
2019-04-11,60.843875885009766
2019-04-12,61.571285247802734
2019-04-15,61.25822448730469
2019-04-16,62.75906753540039
2019-04-17,62.52887725830078
2019-04-18,62.81430435180664
2019-04-22,61.534454345703125
2019-04-23,61.75543212890625
2019-04-24,61.727806091308594
2019-04-25,61.81988525390625
2019-04-26,62.48283386230469
2019-04-29,62.676185607910156
2019-04-30,61.73701858520508
2019-05-01,62.492042541503906
2019-05-02,62.086910247802734
2019-05-03,63.016876220703125
2019-05-06,61.29505157470703
2019-05-07,59.34303283691406
2019-05-08,60.14410400390625
2019-05-09,59.73896789550781
2019-05-10,60.28221130371094
2019-05-13,57.18846130371094
2019-05-14,57.7501220703125
2019-05-15,57.96189880371094
2019-05-16,58.37623596191406
2019-05-17,55.53108596801758
2019-05-20,54.5274658203125
2019-05-21,54.030250549316406
