,MCO
2018-08-24,163.84097290039062
2018-08-27,165.91262817382812
2018-08-28,166.74505615234375
2018-08-29,166.79237365722656
2018-08-30,167.19912719726562
2018-08-31,168.4005126953125
2018-09-04,168.5045928955078
2018-09-05,166.58428955078125
2018-09-06,167.10452270507812
2018-09-07,167.2464141845703
2018-09-10,167.58700561523438
2018-09-11,168.11669921875
2018-09-12,169.23292541503906
2018-09-13,169.57347106933594
2018-09-14,171.73976135253906
2018-09-17,167.35047912597656
2018-09-18,168.2397003173828
2018-09-19,168.19241333007812
2018-09-20,169.09103393554688
2018-09-21,165.1558380126953
2018-09-24,166.06398010253906
2018-09-25,163.566650390625
2018-09-26,163.47203063964844
2018-09-27,164.08689880371094
2018-09-28,158.16519165039062
2018-10-01,160.39764404296875
2018-10-02,157.57870483398438
2018-10-03,157.25704956054688
2018-10-04,154.22996520996094
2018-10-05,152.6407470703125
2018-10-08,152.91506958007812
2018-10-09,152.91506958007812
2018-10-10,147.60821533203125
2018-10-11,145.0257568359375
2018-10-12,147.50413513183594
2018-10-15,148.00555419921875
2018-10-16,151.0609893798828
2018-10-17,153.08534240722656
2018-10-18,149.71775817871094
2018-10-19,151.13665771484375
2018-10-22,150.82452392578125
2018-10-23,148.73390197753906
2018-10-24,145.69735717773438
2018-10-25,146.69064331054688
2018-10-26,133.97686767578125
2018-10-29,133.62684631347656
2018-10-30,133.5133514404297
2018-10-31,137.61886596679688
2018-11-01,141.83786010742188
2018-11-02,141.3837890625
2018-11-05,142.83108520507812
2018-11-06,142.49058532714844
2018-11-07,145.15818786621094
2018-11-08,146.94601440429688
2018-11-09,145.2054443359375
2018-11-12,141.96084594726562
2018-11-13,140.05943298339844
2018-11-14,138.4512939453125
2018-11-15,139.49185180664062
2018-11-16,139.29318237304688
2018-11-19,140.18243408203125
2018-11-20,138.3797149658203
2018-11-21,143.03823852539062
2018-11-23,142.49740600585938
2018-11-26,146.03636169433594
2018-11-27,144.88839721679688
2018-11-28,150.5810546875
2018-11-29,148.61708068847656
2018-11-30,150.922607421875
2018-12-03,150.09715270996094
