,VLO
2017-11-07,60.81345748901367
2017-11-08,60.69453048706055
2017-11-09,60.40468978881836
2017-11-10,60.471595764160156
2017-11-13,59.95135498046875
2017-11-14,60.471595764160156
2017-11-15,60.553314208984375
2017-11-16,61.028968811035156
2017-11-17,61.59377670288086
2017-11-20,61.526302337646484
2017-11-21,62.80794906616211
2017-11-22,61.72117614746094
2017-11-24,61.6462287902832
2017-11-27,61.54880905151367
2017-11-28,62.38823318481445
2017-11-29,62.46318817138672
2017-11-30,64.17203521728516
2017-12-01,63.085269927978516
2017-12-04,62.6805419921875
2017-12-05,64.29195404052734
2017-12-06,63.684871673583984
2017-12-07,64.1495590209961
2017-12-08,65.6560287475586
2017-12-11,65.35623931884766
2017-12-12,65.161376953125
2017-12-13,65.54363250732422
2017-12-14,65.56612396240234
2017-12-15,66.09822082519531
2017-12-18,66.65287017822266
2017-12-19,66.00829315185547
2017-12-20,67.57475280761719
2017-12-21,67.9944839477539
2017-12-22,68.30177307128906
2017-12-26,68.84890747070312
2017-12-27,69.05875396728516
2017-12-28,69.17868041992188
2017-12-29,68.88640594482422
2018-01-02,69.55342864990234
2018-01-03,69.92066955566406
2018-01-04,70.14554595947266
2018-01-05,70.47528839111328
2018-01-08,70.61772155761719
2018-01-09,70.52780151367188
2018-01-10,70.56525421142578
2018-01-11,70.86504364013672
2018-01-12,72.51396942138672
2018-01-16,72.06423950195312
2018-01-17,73.12104797363281
2018-01-18,72.29659271240234
2018-01-19,72.89620971679688
2018-01-22,74.16284942626953
2018-01-23,73.96797943115234
2018-01-24,73.19601440429688
2018-01-25,72.83622741699219
2018-01-26,73.96797943115234
2018-01-29,72.24413299560547
2018-01-30,70.7076644897461
2018-01-31,71.92933654785156
2018-02-01,70.96998596191406
2018-02-02,69.8457260131836
2018-02-05,67.28245544433594
2018-02-06,67.79959869384766
2018-02-07,67.33493041992188
2018-02-08,65.03395080566406
2018-02-09,66.1207046508789
2018-02-12,67.19477081298828
2018-02-13,67.6788330078125
2018-02-14,70.06135559082031
2018-02-15,70.34122467041016
2018-02-16,70.54540252685547
2018-02-20,69.26718139648438
2018-02-21,68.69990539550781
2018-02-22,69.6226577758789
2018-02-23,69.93277740478516
2018-02-26,70.57568359375
2018-02-27,70.16722869873047
2018-02-28,68.3897933959961
2018-03-01,68.69233703613281
2018-03-02,69.7361068725586
2018-03-05,69.25204467773438
2018-03-06,69.37307739257812
2018-03-07,69.61510467529297
2018-03-08,70.57568359375
2018-03-09,71.33959197998047
2018-03-12,70.10671997070312
2018-03-13,70.71182250976562
2018-03-14,70.08405303955078
2018-03-15,69.83444213867188
2018-03-16,70.938720703125
2018-03-19,70.29582214355469
2018-03-20,71.45305633544922
2018-03-21,72.19429016113281
2018-03-22,70.37145233154297
2018-03-23,68.99490356445312
2018-03-26,71.28665161132812
2018-03-27,69.78907012939453
