,GRMN
2017-01-12,39.15821075439453
2017-01-13,39.27965545654297
2017-01-17,38.81010818481445
2017-01-18,38.66437911987305
2017-01-19,38.5429573059082
2017-01-20,38.75343704223633
2017-01-23,39.00440979003906
2017-01-24,39.733009338378906
2017-01-25,40.27540588378906
2017-01-26,39.733009338378906
2017-01-27,39.6682243347168
2017-01-30,38.33247756958008
2017-01-31,39.093448638916016
2017-02-01,38.963924407958984
2017-02-02,40.31588363647461
2017-02-03,40.348262786865234
2017-02-06,40.68827438354492
2017-02-07,40.09730529785156
2017-02-08,39.546810150146484
2017-02-09,39.77349090576172
2017-02-10,40.29969024658203
2017-02-13,40.75304412841797
2017-02-14,40.680179595947266
2017-02-15,41.141624450683594
2017-02-16,41.24687957763672
2017-02-17,41.133544921875
2017-02-21,40.842098236083984
2017-02-22,43.837459564208984
2017-02-23,42.347869873046875
2017-02-24,42.93075180053711
2017-02-27,42.590728759765625
2017-02-28,41.78117752075195
2017-03-01,42.372161865234375
2017-03-02,41.87022018432617
2017-03-03,41.70831298828125
2017-03-06,41.90260314941406
2017-03-07,41.700218200683594
2017-03-08,42.08881378173828
2017-03-09,42.18595504760742
2017-03-10,42.509765625
2017-03-13,42.38715362548828
2017-03-14,42.035614013671875
2017-03-15,42.428035736083984
2017-03-16,42.804073333740234
2017-03-17,42.804073333740234
2017-03-20,43.04114532470703
2017-03-21,42.11737823486328
2017-03-22,41.86395263671875
2017-03-23,42.084686279296875
2017-03-24,41.77402877807617
2017-03-27,41.5042610168457
2017-03-28,41.70045852661133
2017-03-29,41.659584045410156
2017-03-30,41.765865325927734
2017-03-31,41.78221130371094
2017-04-03,41.07098388671875
2017-04-04,40.866607666015625
2017-04-05,40.727630615234375
2017-04-06,40.94020080566406
2017-04-07,41.1772575378418
2017-04-10,41.31623458862305
2017-04-11,40.866607666015625
2017-04-12,40.29437255859375
2017-04-13,39.80387496948242
2017-04-17,40.040950775146484
2017-04-18,40.26983642578125
2017-04-19,40.53144454956055
2017-04-20,40.858436584472656
2017-04-21,40.83391189575195
2017-04-24,41.11186599731445
2017-04-25,41.479732513427734
2017-04-26,41.340763092041016
2017-04-27,41.86395263671875
2017-04-28,41.561485290527344
2017-05-01,42.37080764770508
2017-05-02,41.88848114013672
2017-05-03,41.430686950683594
2017-05-04,42.035614013671875
2017-05-05,42.91034698486328
2017-05-08,42.47708511352539
2017-05-09,42.5179443359375
2017-05-10,43.016624450683594
2017-05-11,42.804073333740234
2017-05-12,42.63240432739258
2017-05-15,42.828609466552734
2017-05-16,43.00027084350586
2017-05-17,41.77402877807617
