,PH
2017-05-12,139.0080108642578
2017-05-15,138.8748779296875
2017-05-16,138.8217010498047
2017-05-17,135.66323852539062
2017-05-18,135.1131591796875
2017-05-19,139.47825622558594
2017-05-22,140.14364624023438
2017-05-23,140.2234649658203
2017-05-24,141.52767944335938
2017-05-25,141.1017608642578
2017-05-26,141.2969970703125
2017-05-30,141.35906982421875
2017-05-31,139.70887756347656
2017-06-01,141.41233825683594
2017-06-02,142.16647338867188
2017-06-05,139.3628692626953
2017-06-06,138.21835327148438
2017-06-07,135.45913696289062
2017-06-08,137.10049438476562
2017-06-09,139.32740783691406
2017-06-12,139.40724182128906
2017-06-13,140.57835388183594
2017-06-14,139.37173461914062
2017-06-15,141.38572692871094
2017-06-16,144.26913452148438
2017-06-19,145.8129119873047
2017-06-20,145.08541870117188
2017-06-21,140.27667236328125
2017-06-22,139.6467742919922
2017-06-23,141.62530517578125
2017-06-26,139.35403442382812
2017-06-27,138.5999298095703
2017-06-28,140.18795776367188
2017-06-29,139.33624267578125
2017-06-30,141.79383850097656
2017-07-03,143.03587341308594
2017-07-05,142.9649200439453
2017-07-06,141.46556091308594
2017-07-07,142.75198364257812
2017-07-10,144.92568969726562
2017-07-11,144.72161865234375
2017-07-12,145.32492065429688
2017-07-13,146.24757385253906
2017-07-14,146.4427947998047
2017-07-17,147.25018310546875
2017-07-18,146.6202392578125
2017-07-19,147.95103454589844
2017-07-20,147.24130249023438
2017-07-21,145.98147583007812
2017-07-24,145.85720825195312
2017-07-25,147.25901794433594
2017-07-26,146.0879364013672
2017-07-27,145.564453125
2017-07-28,146.16778564453125
2017-07-31,147.25901794433594
2017-08-01,145.96376037597656
2017-08-02,145.7685546875
2017-08-03,146.6734161376953
2017-08-04,145.69754028320312
2017-08-07,144.07394409179688
2017-08-08,143.40853881835938
2017-08-09,142.8585205078125
2017-08-10,138.19175720214844
2017-08-11,139.3096466064453
2017-08-14,140.4097900390625
2017-08-15,140.34768676757812
2017-08-16,140.87997436523438
2017-08-17,138.023193359375
2017-08-18,137.65057373046875
2017-08-21,137.65057373046875
2017-08-22,141.18165588378906
2017-08-23,139.7887420654297
2017-08-24,139.49472045898438
2017-08-25,140.14512634277344
2017-08-28,141.13406372070312
2017-08-29,141.837890625
2017-08-30,142.96047973632812
2017-08-31,143.34356689453125
2017-09-01,145.072021484375
2017-09-05,142.33685302734375
2017-09-06,142.613037109375
2017-09-07,141.5349884033203
2017-09-08,143.735595703125
2017-09-11,147.08554077148438
2017-09-12,148.3506622314453
2017-09-13,149.63365173339844
2017-09-14,149.60694885253906
