,EA
2016-08-15,77.64791107177734
2016-08-16,76.25088500976562
2016-08-17,77.93124389648438
2016-08-18,79.11335754394531
2016-08-19,79.8753662109375
2016-08-22,79.61158752441406
2016-08-23,80.41268920898438
2016-08-24,80.52014923095703
2016-08-25,79.67021942138672
2016-08-26,79.33805084228516
2016-08-29,79.63113403320312
2016-08-30,79.8460693359375
2016-08-31,79.35758972167969
2016-09-01,79.8753662109375
2016-09-02,81.53619384765625
2016-09-06,81.9367446899414
2016-09-07,80.84255981445312
2016-09-08,80.2661361694336
2016-09-09,78.01918029785156
2016-09-12,78.97657012939453
2016-09-13,79.00587463378906
2016-09-14,78.96681213378906
2016-09-15,81.44824981689453
2016-09-16,80.97933959960938
2016-09-19,80.86209106445312
2016-09-20,81.0770034790039
2016-09-21,81.54595184326172
2016-09-22,81.25286865234375
2016-09-23,82.31775665283203
2016-09-26,81.57525634765625
2016-09-27,83.23606872558594
2016-09-28,83.04069519042969
2016-09-29,82.31775665283203
2016-09-30,83.43146514892578
2016-10-03,83.44125366210938
2016-10-04,83.5877685546875
2016-10-05,83.4998550415039
2016-10-06,82.63037109375
2016-10-07,81.87810516357422
2016-10-10,82.78668212890625
2016-10-11,81.44824981689453
2016-10-12,80.62762451171875
2016-10-13,79.8753662109375
2016-10-14,80.68624114990234
2016-10-17,80.4224624633789
2016-10-18,82.0735092163086
2016-10-19,80.85233306884766
2016-10-20,80.61785888671875
2016-10-21,80.95980072021484
2016-10-24,82.21029663085938
2016-10-25,81.0281753540039
2016-10-26,80.67647552490234
2016-10-27,80.81324005126953
2016-10-28,77.61863708496094
2016-10-31,76.7100601196289
2016-11-01,76.04571533203125
2016-11-02,77.29622650146484
2016-11-03,78.66394805908203
2016-11-04,78.37086486816406
2016-11-07,79.21104431152344
2016-11-08,79.61158752441406
2016-11-09,77.60885620117188
2016-11-10,75.01992797851562
2016-11-11,75.66471099853516
2016-11-14,74.61936950683594
2016-11-15,75.83079528808594
2016-11-16,77.01290893554688
2016-11-17,77.78471374511719
2016-11-18,77.16920471191406
2016-11-21,76.4560546875
2016-11-22,75.95780181884766
2016-11-23,77.52091979980469
2016-11-25,77.3450698852539
2016-11-28,76.91521453857422
2016-11-29,79.49437713623047
2016-11-30,77.41346740722656
2016-12-01,73.83782958984375
2016-12-02,74.11135864257812
2016-12-05,75.66471099853516
2016-12-06,75.09809875488281
2016-12-07,76.15320587158203
2016-12-08,75.98712921142578
2016-12-09,76.93475341796875
2016-12-12,78.76165008544922
2016-12-13,78.89842224121094
2016-12-14,78.83981323242188
2016-12-15,79.63113403320312
2016-12-16,77.67723083496094
2016-12-19,77.66746520996094
2016-12-20,77.66746520996094
2016-12-21,77.82378387451172
2016-12-22,77.9507827758789
2016-12-23,78.81047821044922
2016-12-27,79.21104431152344
2016-12-28,78.52718353271484
2016-12-29,78.312255859375
2016-12-30,76.94452667236328
2017-01-03,77.3450698852539
2017-01-04,78.77140808105469
2017-01-05,77.1399154663086
2017-01-06,77.1887435913086
2017-01-09,76.82730102539062
2017-01-10,77.0324478149414
2017-01-11,77.1985092163086
2017-01-12,77.7651596069336
2017-01-13,78.49787139892578
2017-01-17,78.3806381225586
2017-01-18,78.67371368408203
2017-01-19,78.52718353271484
2017-01-20,78.2731704711914
2017-01-23,78.03871154785156
2017-01-24,78.65418243408203
2017-01-25,79.6018295288086
2017-01-26,79.81675720214844
2017-01-27,81.24311828613281
2017-01-30,81.90743255615234
2017-01-31,81.50688171386719
2017-02-01,81.0867691040039
2017-02-02,80.60807800292969
2017-02-03,79.40644073486328
2017-02-06,79.64089965820312
2017-02-07,80.31499481201172
2017-02-08,79.6018295288086
2017-02-09,81.34078979492188
2017-02-10,84.18372344970703
2017-02-13,84.33027648925781
2017-02-14,84.07625579833984
2017-02-15,85.92268371582031
2017-02-16,85.82498931884766
2017-02-17,85.28768157958984
2017-02-21,85.52213287353516
2017-02-22,85.36583709716797
2017-02-23,84.65265655517578
2017-02-24,84.54518127441406
2017-02-27,84.99457550048828
2017-02-28,84.50611877441406
2017-03-01,85.79570007324219
2017-03-02,85.00434875488281
2017-03-03,85.22905731201172
2017-03-06,85.13136291503906
2017-03-07,86.26461791992188
2017-03-08,86.948486328125
2017-03-09,86.977783203125
2017-03-10,87.73982238769531
2017-03-13,88.63861083984375
2017-03-14,88.80469512939453
2017-03-15,89.40062713623047
2017-03-16,88.1208267211914
2017-03-17,87.52488708496094
2017-03-20,87.10480499267578
2017-03-21,86.3720932006836
2017-03-22,86.69447326660156
2017-03-23,86.56749725341797
2017-03-24,87.2904052734375
2017-03-27,86.96803283691406
2017-03-28,87.67143249511719
2017-03-29,87.71050262451172
2017-03-30,88.17945098876953
2017-03-31,87.45648193359375
2017-04-03,87.05594635009766
2017-04-04,87.22201538085938
2017-04-05,86.3623046875
2017-04-06,86.51861572265625
2017-04-07,86.68470001220703
2017-04-10,86.69447326660156
2017-04-11,87.61280059814453
2017-04-12,87.87657165527344
2017-04-13,86.96803283691406
2017-04-17,87.15364837646484
2017-04-18,87.14388275146484
2017-04-19,87.58348846435547
2017-04-20,89.1075439453125
2017-04-21,89.82070922851562
2017-04-24,90.67066192626953
2017-04-25,90.84650421142578
2017-04-26,91.34477233886719
2017-04-27,92.06768798828125
2017-04-28,92.63433074951172
2017-05-01,92.60501861572266
2017-05-02,92.07747650146484
2017-05-03,91.94068145751953
2017-05-04,92.57573699951172
2017-05-05,93.53312683105469
2017-05-08,93.5233383178711
2017-05-09,93.79689025878906
2017-05-10,105.66683197021484
2017-05-11,106.07714080810547
2017-05-12,106.57538604736328
2017-05-15,108.34366607666016
2017-05-16,109.18385314941406
2017-05-17,102.81413269042969
2017-05-18,104.46517944335938
2017-05-19,105.1588134765625
2017-05-22,105.89151763916016
2017-05-23,106.49723815917969
2017-05-24,109.72117614746094
2017-05-25,111.20613861083984
2017-05-26,109.54531860351562
2017-05-30,110.24872589111328
2017-05-31,110.7176742553711
2017-06-01,111.2452392578125
2017-06-02,111.88023376464844
2017-06-05,112.04631042480469
2017-06-06,111.06935119628906
2017-06-07,112.71063232421875
2017-06-08,111.655517578125
2017-06-09,107.91380310058594
2017-06-12,106.38978576660156
2017-06-13,107.44488525390625
2017-06-14,107.48394775390625
2017-06-15,107.9822006225586
2017-06-16,107.96266174316406
2017-06-19,111.03026580810547
2017-06-20,110.85445404052734
2017-06-21,110.56136322021484
2017-06-22,110.0240249633789
2017-06-23,108.31434631347656
2017-06-26,109.28153991699219
2017-06-27,105.82315826416016
2017-06-28,106.30184173583984
2017-06-29,104.22093963623047
2017-06-30,103.28307342529297
2017-07-03,102.98998260498047
2017-07-05,104.29910278320312
2017-07-06,103.31237030029297
2017-07-07,104.97317504882812
2017-07-10,105.35419464111328
2017-07-11,105.92082977294922
2017-07-12,108.12873077392578
2017-07-13,106.46794128417969
2017-07-14,106.4776840209961
2017-07-17,106.91731262207031
2017-07-18,107.73796081542969
2017-07-19,109.00801849365234
2017-07-20,109.38900756835938
2017-07-21,109.63324737548828
2017-07-24,111.12798309326172
2017-07-25,111.04005432128906
2017-07-26,115.2800064086914
2017-07-27,114.88922882080078
2017-07-28,115.52425384521484
2017-07-31,114.0490493774414
2017-08-01,114.22489166259766
2017-08-02,114.13697052001953
2017-08-03,116.11041259765625
2017-08-04,114.51799774169922
2017-08-07,114.26398468017578
2017-08-08,113.8145980834961
2017-08-09,113.43358612060547
2017-08-10,111.3624267578125
2017-08-11,112.78878784179688
2017-08-14,114.4105224609375
2017-08-15,114.72314453125
2017-08-16,116.50120544433594
2017-08-17,113.78528594970703
2017-08-18,114.18582153320312
2017-08-21,114.1467514038086
2017-08-22,116.28627014160156
2017-08-23,115.45586395263672
2017-08-24,115.10415649414062
2017-08-25,114.23468017578125
2017-08-28,115.99317932128906
2017-08-29,116.48165893554688
2017-08-30,119.15849304199219
2017-08-31,118.69933319091797
2017-09-01,116.55982208251953
2017-09-05,115.48516082763672
2017-09-06,114.30304718017578
2017-09-07,116.1885757446289
2017-09-08,115.55355834960938
2017-09-11,118.396484375
2017-09-12,117.63446807861328
2017-09-13,116.84313201904297
2017-09-14,116.44258880615234
2017-09-15,116.66729736328125
2017-09-18,117.19482421875
2017-09-19,117.4390640258789
2017-09-20,117.56604766845703
2017-09-21,115.29954528808594
2017-09-22,115.76848602294922
2017-09-25,111.56758880615234
2017-09-26,111.29405975341797
2017-09-27,113.29679870605469
2017-09-28,113.92204284667969
2017-09-29,115.33861541748047
2017-10-02,115.23117065429688
2017-10-03,115.24093627929688
2017-10-04,115.82709503173828
2017-10-05,116.76496887207031
2017-10-06,117.32183074951172
2017-10-09,115.8857421875
2017-10-10,115.10415649414062
2017-10-11,113.37496185302734
2017-10-12,114.43983459472656
2017-10-13,115.8857421875
2017-10-16,114.77201080322266
2017-10-17,113.30658721923828
2017-10-18,110.55158996582031
2017-10-19,110.46365356445312
2017-10-20,111.0009765625
2017-10-23,111.04005432128906
2017-10-24,110.77626037597656
2017-10-25,111.9193115234375
2017-10-26,113.16001892089844
2017-10-27,114.19560241699219
2017-10-30,114.86969757080078
2017-10-31,116.84313201904297
2017-11-01,111.83138275146484
2017-11-02,110.09241485595703
2017-11-03,110.59064483642578
2017-11-06,109.86771392822266
