,HII
2018-10-17,204.05499267578125
2018-10-18,204.13377380371094
2018-10-19,205.1929473876953
2018-10-22,206.75099182128906
2018-10-23,203.80995178222656
2018-10-24,194.1376190185547
2018-10-25,191.73046875
2018-10-26,189.82225036621094
2018-10-29,182.5833282470703
2018-10-30,187.45889282226562
2018-10-31,191.2403106689453
2018-11-01,196.0545654296875
2018-11-02,192.9997100830078
2018-11-05,198.05905151367188
2018-11-06,199.57334899902344
2018-11-07,204.8953094482422
2018-11-08,192.62332153320312
2018-11-09,195.7656707763672
2018-11-12,187.43264770507812
2018-11-13,186.60105895996094
2018-11-14,186.83741760253906
2018-11-15,188.2642059326172
2018-11-16,189.43711853027344
2018-11-19,185.4193878173828
2018-11-20,183.56375122070312
2018-11-21,184.167724609375
2018-11-23,185.15679931640625
2018-11-26,186.3297576904297
2018-11-27,178.6356658935547
2018-11-28,187.28382873535156
2018-11-29,188.82183837890625
2018-11-30,189.39309692382812
2018-12-03,188.0133056640625
2018-12-04,178.9523468017578
2018-12-06,178.31069946289062
2018-12-07,174.44375610351562
2018-12-10,175.38417053222656
2018-12-11,176.3069610595703
2018-12-12,178.09104919433594
2018-12-13,175.49842834472656
2018-12-14,174.2768096923828
2018-12-17,173.45068359375
2018-12-18,173.21339416503906
2018-12-19,165.88375854492188
2018-12-20,162.78140258789062
2018-12-21,157.8070831298828
2018-12-24,155.5835723876953
2018-12-26,161.4982452392578
2018-12-27,164.8466796875
2018-12-28,165.3739776611328
2018-12-31,167.25479125976562
2019-01-02,169.23216247558594
2019-01-03,165.96286010742188
2019-01-04,171.83358764648438
2019-01-07,172.24667358398438
2019-01-08,171.0865478515625
2019-01-09,169.0037078857422
2019-01-10,169.20579528808594
2019-01-11,170.9547576904297
2019-01-14,172.28182983398438
2019-01-15,173.56495666503906
2019-01-16,171.8775177001953
2019-01-17,173.23973083496094
2019-01-18,176.0257110595703
2019-01-22,172.69488525390625
2019-01-23,172.79151916503906
2019-01-24,174.93597412109375
2019-01-25,177.598876953125
2019-01-28,179.79605102539062
2019-01-29,181.43943786621094
2019-01-30,183.4959716796875
2019-01-31,181.43943786621094
2019-02-01,181.36912536621094
2019-02-04,185.728271484375
2019-02-05,186.15011596679688
2019-02-06,185.49977111816406
2019-02-07,184.7703399658203
2019-02-08,183.90904235839844
2019-02-11,185.04278564453125
2019-02-12,188.31210327148438
2019-02-13,189.82374572753906
2019-02-14,188.49667358398438
2019-02-15,193.08428955078125
2019-02-19,191.5902099609375
2019-02-20,194.07737731933594
2019-02-21,191.4922637939453
2019-02-22,191.5540771484375
2019-02-25,188.4572296142578
2019-02-26,187.072021484375
2019-02-27,185.49273681640625
2019-02-28,184.7604217529297
2019-03-01,185.28097534179688
2019-03-04,182.07821655273438
2019-03-05,182.1488037109375
2019-03-06,180.4901123046875
2019-03-07,177.74620056152344
2019-03-08,176.56394958496094
2019-03-11,176.91685485839844
2019-03-12,179.71372985839844
2019-03-13,183.3664093017578
2019-03-14,182.89878845214844
2019-03-15,180.3489532470703
2019-03-18,182.99581909179688
2019-03-19,180.8695068359375
2019-03-20,180.64894104003906
2019-03-21,183.34873962402344
2019-03-22,179.21961975097656
2019-03-25,179.431396484375
2019-03-26,179.3255157470703
2019-03-27,179.0784454345703
2019-03-28,180.96652221679688
2019-03-29,182.810546875
2019-04-01,187.43373107910156
2019-04-02,186.00445556640625
2019-04-03,184.06336975097656
2019-04-04,184.8310089111328
2019-04-05,187.75140380859375
2019-04-08,189.01307678222656
