,TAP
2020-06-18,35.27952575683594
2020-06-19,34.331634521484375
2020-06-22,34.25941848754883
2020-06-23,34.277469635009766
2020-06-24,32.9504280090332
2020-06-25,32.119895935058594
2020-06-26,31.08173179626465
2020-06-29,31.97545051574707
2020-06-30,31.018535614013672
2020-07-01,31.650466918945312
2020-07-02,31.90323257446289
2020-07-06,32.192108154296875
2020-07-07,31.289365768432617
2020-07-08,31.361589431762695
2020-07-09,30.016490936279297
2020-07-10,31.289365768432617
2020-07-13,30.9824275970459
2020-07-14,31.668521881103516
2020-07-15,32.29141616821289
2020-07-16,32.56224822998047
2020-07-17,32.57128143310547
2020-07-20,31.596302032470703
2020-07-21,32.36363983154297
2020-07-22,32.31849670410156
2020-07-23,32.995567321777344
2020-07-24,32.9413948059082
2020-07-27,32.63446044921875
2020-07-28,32.78792953491211
2020-07-29,33.158058166503906
2020-07-30,33.79901123046875
2020-07-31,33.8712272644043
2020-08-03,33.23027801513672
2020-08-04,33.176116943359375
2020-08-05,32.977508544921875
2020-08-06,33.01361846923828
2020-08-07,33.645545959472656
2020-08-10,34.21428680419922
2020-08-11,34.49413299560547
2020-08-12,34.69274139404297
2020-08-13,34.133026123046875
2020-08-14,34.01566696166992
2020-08-17,34.06983947753906
2020-08-18,34.087894439697266
2020-08-19,34.16914749145508
2020-08-20,33.546241760253906
2020-08-21,33.22124481201172
2020-08-24,34.322608947753906
2020-08-25,33.96150588989258
2020-08-26,33.85316848754883
2020-08-27,33.9163703918457
2020-08-28,34.20525360107422
2020-08-31,33.979557037353516
2020-09-01,33.410823822021484
2020-09-02,34.232330322265625
2020-09-03,34.30455017089844
2020-09-04,34.59343338012695
2020-09-08,34.087894439697266
2020-09-09,33.8712272644043
2020-09-10,32.13794708251953
2020-09-11,31.677549362182617
2020-09-14,31.605327606201172
2020-09-15,30.955339431762695
2020-09-16,31.199085235595703
2020-09-17,31.650466918945312
2020-09-18,30.973405838012695
2020-09-21,30.32341957092285
2020-09-22,30.449806213378906
2020-09-23,29.86301612854004
2020-09-24,29.835935592651367
2020-09-25,29.474838256835938
2020-09-28,30.314393997192383
2020-09-29,30.269250869750977
2020-09-30,30.296337127685547
2020-10-01,29.592191696166992
2020-10-02,30.729660034179688
2020-10-05,31.551164627075195
2020-10-06,31.524072647094727
2020-10-07,32.21016311645508
2020-10-08,33.22124481201172
2020-10-09,32.59834289550781
2020-10-12,32.1830940246582
2020-10-13,31.90323257446289
2020-10-14,31.957408905029297
2020-10-15,32.11086654663086
2020-10-16,31.957408905029297
2020-10-19,31.343523025512695
2020-10-20,31.325471878051758
2020-10-21,31.22617530822754
2020-10-22,31.86712646484375
2020-10-23,32.21016311645508
2020-10-26,31.48797035217285
2020-10-27,30.522022247314453
2020-10-28,29.709545135498047
2020-10-29,30.13384246826172
2020-10-30,31.83100700378418
2020-11-02,33.898311614990234
2020-11-03,34.918426513671875
2020-11-04,33.663597106933594
2020-11-05,34.53023910522461
2020-11-06,34.59343338012695
2020-11-09,37.15724563598633
2020-11-10,38.637760162353516
2020-11-11,38.24957275390625
2020-11-12,38.096107482910156
2020-11-13,39.84743881225586
2020-11-16,40.55158996582031
2020-11-17,40.74116897583008
2020-11-18,39.323856353759766
2020-11-19,39.75716781616211
2020-11-20,39.323856353759766
2020-11-23,39.83842468261719
2020-11-24,42.46542739868164
2020-11-25,41.977935791015625
2020-11-27,42.24876403808594
2020-11-30,41.52656555175781
2020-12-01,41.752254486083984
2020-12-02,40.88560485839844
2020-12-03,42.131404876708984
2020-12-04,42.916805267333984
2020-12-07,43.02512741088867
2020-12-08,43.26887512207031
2020-12-09,43.404293060302734
2020-12-10,43.52164077758789
2020-12-11,42.700138092041016
2020-12-14,41.454341888427734
2020-12-15,41.55363845825195
2020-12-16,41.77030563354492
2020-12-17,41.49947738647461
2020-12-18,41.08421325683594
2020-12-21,40.244659423828125
2020-12-22,40.10021209716797
2020-12-23,40.97588348388672
2020-12-24,41.04811096191406
2020-12-28,41.05712890625
2020-12-29,41.111297607421875
2020-12-30,40.84047317504883
2020-12-31,40.79533004760742
2021-01-04,41.21060562133789
2021-01-05,42.429317474365234
2021-01-06,44.46051025390625
2021-01-07,44.37023162841797
2021-01-08,44.686195373535156
2021-01-11,44.84868621826172
2021-01-12,46.807655334472656
2021-01-13,47.204872131347656
2021-01-14,48.29719924926758
2021-01-15,47.43055725097656
2021-01-19,46.97014617919922
2021-01-20,46.16670608520508
2021-01-21,45.72435760498047
2021-01-22,45.60699462890625
2021-01-25,46.627105712890625
2021-01-26,48.14372253417969
2021-01-27,49.64229965209961
2021-01-28,46.92501449584961
2021-01-29,45.282012939453125
2021-02-01,44.69522476196289
2021-02-02,44.13551330566406
