,BALL
2023-05-02,51.137454986572266
2023-05-03,51.03977966308594
2023-05-04,57.876338958740234
2023-05-05,57.23175048828125
2023-05-08,56.35276412963867
2023-05-09,55.69841384887695
2023-05-10,55.30774688720703
2023-05-11,55.75700759887695
2023-05-12,54.887794494628906
2023-05-15,55.24915313720703
2023-05-16,54.44830322265625
2023-05-17,54.096702575683594
2023-05-18,53.7744140625
2023-05-19,53.32514953613281
2023-05-22,52.97355270385742
2023-05-23,53.48141098022461
2023-05-24,52.43639373779297
2023-05-25,52.045738220214844
2023-05-26,52.55359649658203
2023-05-30,50.79561996459961
2023-05-31,50.15834045410156
2023-06-01,50.619144439697266
2023-06-02,53.37412643432617
2023-06-05,53.07019805908203
2023-06-06,53.56040954589844
2023-06-07,51.84467315673828
2023-06-08,52.17802047729492
2023-06-09,51.5505485534668
2023-06-12,52.25645065307617
2023-06-13,53.25648498535156
2023-06-14,53.39373779296875
2023-06-15,53.42314910888672
2023-06-16,57.2860107421875
2023-06-20,54.90358352661133
2023-06-21,54.40357208251953
2023-06-22,55.246734619140625
2023-06-23,54.717308044433594
2023-06-26,54.93299865722656
2023-06-27,56.38402557373047
2023-06-28,55.540863037109375
2023-06-29,56.580108642578125
2023-06-30,57.070316314697266
2023-07-03,57.37424850463867
2023-07-05,55.55066680908203
2023-07-06,55.15849304199219
2023-07-07,56.334999084472656
2023-07-10,54.93299865722656
2023-07-11,55.08986282348633
2023-07-12,55.61929702758789
2023-07-13,55.25654220581055
2023-07-14,55.178104400634766
2023-07-17,54.874176025390625
2023-07-18,55.08006286621094
2023-07-19,55.88401412963867
2023-07-20,56.30559158325195
2023-07-21,56.46245574951172
2023-07-24,56.815406799316406
2023-07-25,58.05073547363281
2023-07-26,58.295841217041016
2023-07-27,56.89384078979492
2023-07-28,57.5997428894043
2023-07-31,57.540916442871094
2023-08-01,56.94286346435547
2023-08-02,55.96244430541992
2023-08-03,57.91347885131836
2023-08-04,56.687950134277344
2023-08-07,55.97224426269531
2023-08-08,55.16830062866211
2023-08-09,54.15846252441406
2023-08-10,55.736942291259766
2023-08-11,56.285980224609375
2023-08-14,55.55066680908203
2023-08-15,54.423179626464844
2023-08-16,53.44275665283203
2023-08-17,54.31533432006836
2023-08-18,53.501583099365234
2023-08-21,52.00153732299805
2023-08-22,51.48191452026367
2023-08-23,51.35446548461914
2023-08-24,51.72702407836914
2023-08-25,51.58976364135742
