,HUM
2017-06-27,224.4116973876953
2017-06-28,227.34164428710938
2017-06-29,226.94338989257812
2017-06-30,228.15713500976562
2017-07-03,226.5735626220703
2017-07-05,229.76902770996094
2017-07-06,226.10894775390625
2017-07-07,225.890869140625
2017-07-10,226.65892028808594
2017-07-11,226.65892028808594
2017-07-12,226.82957458496094
2017-07-13,225.72970581054688
2017-07-14,226.70632934570312
2017-07-17,225.25558471679688
2017-07-18,222.88502502441406
2017-07-19,223.9945068359375
2017-07-20,223.61517333984375
2017-07-21,223.70053100585938
2017-07-24,223.30224609375
2017-07-25,222.74282836914062
2017-07-26,221.40591430664062
2017-07-27,220.55245971679688
2017-07-28,221.00765991210938
2017-07-31,219.2249755859375
2017-08-01,218.8172607421875
2017-08-02,228.60275268554688
2017-08-03,235.95130920410156
2017-08-04,233.19203186035156
2017-08-07,236.69088745117188
2017-08-08,237.2598419189453
2017-08-09,241.7543487548828
2017-08-10,238.63479614257812
2017-08-11,237.04176330566406
2017-08-14,237.28826904296875
2017-08-15,234.04547119140625
2017-08-16,234.54798889160156
2017-08-17,234.8324737548828
2017-08-18,234.4720916748047
2017-08-21,236.44439697265625
2017-08-22,240.16134643554688
2017-08-23,238.93820190429688
2017-08-24,238.805419921875
2017-08-25,239.89584350585938
2017-08-28,241.85865783691406
2017-08-29,242.42755126953125
2017-08-30,241.0716552734375
2017-08-31,244.2765655517578
2017-09-01,245.3480682373047
2017-09-05,244.21022033691406
2017-09-06,243.5749053955078
2017-09-07,243.2430419921875
2017-09-08,243.27146911621094
2017-09-11,243.88780212402344
2017-09-12,241.8870849609375
2017-09-13,238.51148986816406
2017-09-14,237.66758728027344
2017-09-15,236.36856079101562
